respid,sample,comp,int_date,lang,state,density,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3f_1_other,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,web1j,web1k,sns2a,sns2b,sns2c,sns2d,sns2e,paya,payb,payc,prob,coviddisa,coviddisb,coviddisc,coviddisd,coviddise,device1b,device1c,device1d,books1,books2a,books2b,books2c,gender,age,marital,par,educ2,emplnw,disa,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,income,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
132765,2,1,2/4/2021,1,6,5,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , ,1,2,2, ,3,1,2,1,1,1,1,1,1,10,2,2,1,1,32,1,1,3,1,2,2,1, , , ,1, ,7,3,1,5,2, , ,2,1.089152,.9291579
132816,2,1,2/3/2021,1,24,4,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,1,2,2, ,2,2,2,2,1,2,1,1,1,40,1,2,2,1,48,1,1,6,1,2,2,1, , , ,1, ,6,1, ,6,5, , ,2,.8205259,.7580798
132862,2,1,1/28/2021,1,40,4,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2, , ,2, ,2,2,2, ,2,2,1,1,1,1,1,1,1,43,1,2,2,2,31,1,2,6,1,2,2,1, , , ,1, ,7,3,2,2,2, , ,2,1.3666559,1.152712
132932,2,1,2/2/2021,1,4,3,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2, ,2,2,1,1,2,2, ,1,1,2,1,1,2,2,1,1,0, , , ,1,37,6,2,6,1,1,2,1, , , ,1, ,9,4,1,6,3, , ,2,.7523252,.5794836
132965,2,1,1/26/2021,1,51,5,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1, ,2,2, ,1,2,2, ,3,2,2,1,1,2,1,1,1,15,2,1,2,1,64,1,1,6,3,2,2,1, , , ,1, ,9,9,1,4,2, , ,2,.3770454,.3998184
133024,2,1,1/26/2021,1,51,3,S,2,2,1,1,2,1,2, , , ,1,8,2,8,1,1,1,2, ,5,2,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2, ,2,2, , ,1, , ,1,1,1,1,1,1,2,2,1,96,1,2,2,2,32,2,1,3,1,2,2,1, , , ,1, ,8,4,8,3,2, , ,2,2.3601549,2.1592135
133212,2,1,1/29/2021,1,27,5,U,2,1,1,1,1,2,2, , , ,1,2,2,2,2,1,1,2, ,4,2,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2, , , , ,2,2, , ,3,1,1,1,1,2,1,1,1,18,1,2,1,1,34,1,1,6,7,2,2,1,3, , ,4, ,6,3,1,3,2, , ,2,.9057029,.7256733
133368,2,1,1/29/2021,1,13,4,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2, ,5,2,2, ,3,1,2,1,1,1,2,1,1,20,1,1,1,2,46,1,1,8,4,2,2,1, , , ,1, ,9,2, ,4,2, , ,2,1.0949341,.993953
133385,2,1,2/6/2021,1,1,2,U,2,1,2,1,5,2,1,2, , ,2, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,1,1,1,2,3,1,2,2,2,0, , , ,1,63,4,2,3,3,2,2,2, , , ,2, ,1,4,9,1, , , ,2,.8671673,.7487006
133404,2,1,1/28/2021,1,48,4,U,2,2,1,1,1,1,1,3, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,2,2,2,1,1,1,1, ,1, ,1,2,2,2,4,1,1,1,1,3,1,1,1,25,1,1,1,2,37,6,2,6,1,2,2,1, , , ,1, ,7,2, ,1, , , ,2,1.2029908,1.0129315
133587,2,1,1/28/2021,1,18,4,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,8,1,1,2,2,1,2,1,2,2,1,2,2,2, , ,4, ,2,2,2, ,3,2,2,1,1,1,2,1,2,4,1,2,2,1,54,1,2,3,1,2,2,1, , , ,1, ,6,2, ,2,2, , ,1,1.7492983,1.6499701
133788,2,1,1/28/2021,1,48,4,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,2,2,1,2,2,1,2,1,1,3,4,2,2,2,3,1,2,1,1,1,1,1,1,3,1,2,2,2,40,3,2,6,1,1,2,2, , , ,2, ,5,2, ,2,2, , ,2,1.2833995,1.1332589
133897,2,1,2/7/2021,1,33,3,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,1,2,2,2, , ,3, ,5,2,2,2,3,2,2,2,1,2,1,1,1,5,1,2,2,1,60,3,1,6,1,2,2,1, , , ,1, ,8,1, ,3,2, , ,1,.3716449,.4217437
133908,2,1,1/26/2021,1,42,3,S,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,2,2,2,2,2, ,4,4, ,1,2,2,2,3,1,1,1,1,8,2,1,2,1,1,2,2,2,63,1,2,8,4,2,2,1, , , ,1, ,10,3,9,2,2, , ,2,.7490964,.7445905
134208,2,1,2/4/2021,1,23,2,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,2,2,1,2,2,2,4, ,1, ,3,2,2,2,3,1,1,1,1,1,1,1,2,0, , , ,2,46,1,1,3,4,1,2,1, , , ,1, ,5,3,8,5,3, , ,1,2.2477183,2.2427087
134310,2,1,1/29/2021,1,48,3,U,2,1,1,1,2,1,1,3, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,1,2,1,2,2,2, ,2,1,2,3,2,2,2,4,1,1,1,1,1,1,1,2,1,1,2,2,1,50,1,1,4,1,2,2,1, , , ,1, ,9,3,2,3,2, , ,2,.9205734,.7667247
134521,2,1,1/28/2021,1,40,2,S,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,2,2,2,2,4,3,8,1,1,1,1,2,2,0, , , ,1,51,2,2,6,5,2,2,5, , , ,5, ,6,1, ,3,2, , ,2,.5730816,.5374171
134854,2,1,2/7/2021,1,1,1,R,2,1,1,1,3,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2, , ,3, ,3,2,2, ,2,3,3,3,8,3,2,1,2,8,1,2,2,1,68,3,2,4,3,2,2,1, , , ,1, ,3,1, ,2,1, , ,1,.3851801,.6986368
135026,2,1,2/5/2021,1,31,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,2,2,2,2,2,2,5, ,2, ,3,2,2,2,2,1,2,2,1,2,1,1,2,0, , , ,1,59,1,2,6,1,2,2,1, , , ,1, ,10,1, ,3,3, , ,1,.3858362,.3946651
135049,2,1,1/28/2021,1,27,1,R,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,2,2,1,2,2,2,2, , ,1, , ,2,2,2,3,1,1,1,1,1,2,1,2,96,1,2,2,2,70,1,2,8,3,2,2,1, , , ,1, ,10,2, ,2,2, , ,1,.4372871,.7479748
135088,2,1,2/1/2021,1,6,4,S,2,1,1,1,3,2,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2, , , , ,4,2,2, ,3,2,2,2,2,2,2,1,2,50,1,2,2,1,70,5,2,6,3,2,2,1, , , ,1, ,9,3,2,1, , , ,2,.3708016,.4634886
135180,2,1,1/29/2021,1,45,3,U,2,1,1,1,3,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,1,2,2,2, , , , ,5,2,2,2,4,1,3,1,1,1,1,1,2,70,1,2,1,1,99,1,2,6,3,2,2,1, , , ,1, ,10,3,9,2,2, , ,1,.3535622,.3946651
135224,2,1,1/26/2021,1,55,2,U,2,2,1,1,2,2,2, , , ,1,2,1,1,1,2,2,1,not in budget,6,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2, , , , ,2,2, , ,4,3,3,3,3,2,2,1,2,0, , , ,2,62,2,2,3,3,2,2,1, , , ,1, ,10,2, ,2,2, , ,2,2.2111616,2.1156121
135238,2,1,2/1/2021,1,48,5,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,1,1,1,2,1,1, ,2,1, ,1,1,1,1,3,2,2,1,1,1,1,1,1,2,1,2,2,2,53,3,1,6,4,2,2,2, , , ,2, ,5,2, ,3,2, , ,1,.899502,.8163482
135294,2,1,1/27/2021,1,26,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2, ,1,1, ,1,2,2, ,3,2,1,2,1,3,1,1,2,2,1,2,2,1,56,1,2,4,2,2,2,1, , , ,1, ,7,3,2,2,2, , ,2,.6606573,.6493118
135323,2,1,1/26/2021,1,13,3,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,1,2,1,2,2, , ,1, ,1,2,1,1,3,2,1,1,1,2,1,1,1,0, , , ,2,32,6,2,8,1,2,2,2, , , ,2, ,1,3,1,1, , , ,2,1.6332578,1.2640083
135353,2,1,1/26/2021,1,50,2,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,2,2,2,2,2, ,1,3,5,4,2,2,2,2,2,1,1,1,1,2,1,2,5,1,2,2,2,56,3,2,6,2,2,2,1,3, , ,4, ,2,2, ,1, , , ,2,.5457481,.535612
135417,2,1,2/2/2021,1,17,1,R,2,2,2,2, ,2,2, , , ,2,2,1,1, ,1,1,1,i dont want it.,6,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2, ,2,3,2,3,3,2,2,2,0, , , ,2,84,5,1,3,3,2,2,1, , , ,1, ,2,3,2,2,2, , ,2,1.5549008,2.2723671
135540,2,1,2/2/2021,1,17,2,R,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,1,1,2,2,2, ,2,5, ,4,2,2,2,2,2,1,1,1,2,1,1,2,96,1,1,1,2,68,5,2,3,3,2,2,1, , , ,1, ,10,2, ,1, , , ,2,1.5173367,2.2723671
135681,2,1,2/4/2021,1,42,2,S,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,3,2,2,2,3,2,2,1,1,1,1,1,2,0, , , ,2,24,2,2,6,1,2,2,1, , , ,1, ,7,2, ,2,2, , ,2,1.0519236,.8381219
135704,2,1,2/6/2021,1,34,5,U,2,1,1,1,2,1,2, , , ,1,1,2,2,2,2,2,2, , ,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,2,3,1,1,1,1,2, , ,4,2,3,2,3,3,1,2,2,0, , , ,1,32,4,1,3,1,2,1,1, , , ,1,3,1,3,2,4,2, , ,2,2.4596811,1.8502222
135749,2,1,2/2/2021,1,29,4,S,2,1,2,2, ,2,1,8, , ,2,2,9,9, ,9,9,9, , ,1, , , , ,2,2,2,2,2,9,2,2,2,2,2, , , , , ,2, ,2, ,3,3,8,3,3,2,1,2,0, , , ,1,85,1,2,1,3,2,2,1, , , ,1, ,2,1, ,3,3, , ,1,1.3275853,1.3884518
135794,2,1,1/27/2021,1,8,2,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1, ,3,1, ,3,2,2, ,4,2,2,1,1,1,2,1,1,9,1,2,2,1,48,6,2,4,1,1,2,1,5, , ,4, ,7,3,8,1, , , ,2,1.2807902,1.1617467
135838,2,1,2/2/2021,1,51,1,R,2,2,2,2, ,2,1,2, , ,2, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2, ,3,3,2,1,3,2,2,2,5,1,2,2,2,88,5,2,3,3,2,2,1, , , ,1, ,3,1, ,6,3, , ,1,1.5373769,2.2723671
135854,2,1,2/8/2021,1,42,3,S,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,3,2,2, ,3,1,1,1,1,1,2,1,1,6,1,2,2,2,24,2,2,6,4,2,2,1, , , ,1, ,5,2, ,2,2, , ,2,1.2112544,.86946
136028,2,1,1/27/2021,1,13,4,S,2,1,1,1,9,2,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2, , , , ,1,2,2, ,3,2,2,1,1,2,1,1,1,2,1,1,1,1,43,3,2,6,1,2,2,2, , , ,2, ,2,3,2,2,2, , ,2,.9371339,.8436252
136147,2,1,1/26/2021,1,8,3, ,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1, ,4,8,3,3,3,3,2,1,2,12,1,2,2,9,99,9,9,6,99,9,9,9, , , ,9, ,10,9,9,9,9, , ,1,.337806,.3946651
136261,2,1,1/26/2021,1,37,2,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1, ,1,4,1,1,2,2, ,3,3,2,8,1,3,1,1,1,25,1,2,2,1,26,2,2,4,7,1,2,1, , , ,1, ,3,3,8,2,2, , ,2,1.4066775,1.2096116
136335,2,1,1/28/2021,1,53,4,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,3, , , ,3,2,2, ,3,1,2,1,1,1,2,1,2,5,1,2,2,1,53,1,2,8,1,2,2,1, , , ,1, ,10,2, ,2,2, , ,1,.7319878,.7070813
136412,2,1,2/2/2021,1,42,1,S,2,1,1,1,2,1,2, , , ,1,1,1,1,1,1,2,2, ,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,2, ,2,1, ,1,2, , ,2,1,1,1,1,1,1,1,2,3,1,2,1,1,47,6,2,4,4,1,2,1, , , ,1, ,3,5,2,1, , , ,1,.5880868,.8374405
136667,2,1,2/2/2021,1,47,4,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,3, ,3,2,2, ,3,1,1,1,1,1,1,1,1,3,1,1,2,2,42,6,2,6,1,2,2,2, , , ,2, ,8,2, ,1, , , ,2,.9371339,.8436252
136726,2,1,2/2/2021,1,18,2,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,1,1,1,2,2,1, ,4,1, ,1,2,2,2,2,2,1,1,1,2,1,1,2,0, , , ,2,31,1,1,6,2,2,2,3, , , ,3, ,7,3,9,4,2, , ,2,1.4655014,1.2874574
136838,2,1,1/30/2021,1,17,5,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,1,1,2,2,1,1,2,3, ,3,2,2,2,3,1,1,1,1,1,1,1,2,20,1,2,1,1,65,1,2,8,3,2,2,1, , , ,1, ,9,2, ,2,2, , ,1,.3480488,.4364479
136920,2,1,1/29/2021,1,17,3, ,2,1,1,1,5,1,2, , , ,1,2,2,2,1,2,1,2, ,5,1, , , , ,2,2,1,2,2,2,2,2,2,2,2, , ,5, , ,2, ,2,2,2,1,2,1,1,2,2,1,0, , , ,1,19,6,2,3,4,2,9,9, , , ,9, ,10,9,9,9,9, , ,9,1.0446425,.7575479
136979,2,1,1/28/2021,1,34,4,S,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,2,2,2,3,1,1,1,1,1,2,1,1,45,1,1,1,2,52,6,1,8,1,2,2,1, , , ,1, ,7,2, ,3,2, , ,2,1.1509334,1.1096276
137185,2,1,1/28/2021,1,6,5,U,2,1,1,1,1,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,1,1,2,2,2,1,2,2, , , ,1,1,1,1,1,2,1,2,1,1,1,1,1,1,10,1,2,2,1,18,6,2,3,2,2,2,1, , , ,1, ,10,3,1,5,3, , ,1,.9826179,.7424281
137267,2,1,1/28/2021,1,47,3,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,2,2,2,2, , ,1, ,4,2,2,2,3,2,2,1,1,2,1,1,1,6,1,1,2,2,58,1,2,5,1,2,2,1, , , ,1, ,9,3,2,2,2, , ,2,1.1941272,1.0955537
137271,2,1,1/26/2021,1,37,1,R,2,1,1,1,4,1,2, , , ,1,2,1,1,1,2,2,2, ,3,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2, , ,2, ,3,1, , ,3,2,2,2,2,2,2,2,2,97,2,2,2,1,36,2,2,5,1,1,2,1, , , ,1, ,3,1, ,2,2, , ,2,.8770771,.7461533
137284,2,1,2/2/2021,1,12,2,S,2,2,1,1,3,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,3, ,5,2,2,2,3,3,3,3,8,3,2,1,2,4,1,2,2,2,73,1,2,4,3,2,2,1, , , ,1, ,5,1, ,2,2, , ,2,.7116409,1.2018031
137286,2,1,1/27/2021,1,1,2,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,2,2,1,2,1, ,3,1, ,1,2,2,2,3,2,2,1,1,2,1,1,2,6,2,2,1,1,66,1,2,6,3,1,2,1, , , ,1, ,7,3,1,2,2, , ,2,.3110796,.3946651
137309,2,1,2/5/2021,1,17,3, ,2,2,1,1,4,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,1,1,1,1,1,2,1,2,4, ,1,4,4,2,2,2,4,1,1,1,1,1,1,1,1,3,1,1,2,2,47,1,1,6,1,2,2,1, , , ,1, ,8,2, ,5,4, , ,1,1.1237448,.8248745
137367,2,1,1/27/2021,1,2,1,R,2,1,1,1,3,1,1,1,1, ,1,1,2,2,1,1,1,2, ,5,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,5,5,1,5,5,2, , ,1,2,1,1,1,1,1,1,1,30,1,2,2,1,30,1,1,7,1,2,2,5, , , ,5, ,7,3,2,4,2, , ,2,.94652,.8445916
137519,2,1,2/3/2021,1,8,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,1,2,2,2,2,2,2,2,2,2,2,2,2,0, , , ,1,50,4,2,3,6,1,1,7, , , ,5,1,10,2, ,1, , , ,2,1.3305066,1.1071136
137857,2,1,1/28/2021,1,37,2,S,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,2, , ,1,4,1,2,2, ,3,2,2,2,1,3,1,1,1,3,1,2,2,2,30,1,1,4,1,2,2,1, , , ,1, ,7,3,8,3,2, , ,2,2.4002594,2.2189935
137871,2,1,2/7/2021,1,36,2,S,2,2,1,1,2,2,1,1,2, ,1, , , , , , , , , ,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1, , ,5, ,2,2,2, ,3,2,3,3,2,2,1,1,2,10,1,2,1,2,30,3,1,8,2,2,2,3, , , ,3, ,10,2, ,3,2, , ,2,1.5021373,1.2655988
138084,2,1,1/27/2021,1,20,1,R,2,1,1,1,2,1,2, , , ,1,1,2,1,1,1,2,2, ,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2, ,5,1, ,1,1, , ,2,1,2,1,1,1,2,2,2,3,1,2,2,1,52,1,2,3,4,2,2,1, , , ,1, ,1,3,2,2,2, , ,2,1.4946008,1.3300423
138233,2,1,2/1/2021,1,38,1,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,1,2,2,2,2, , , , , ,2,2,2,1,1,1,2,1,2,1,1,2,10,2,2,1,1,67,2,2,6,1,1,2,1, , , ,1, ,6,2, ,2,2, , ,2,.3331668,.4034687
138292,2,1,2/4/2021,1,4,3,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,2,2,1,2,2,1,1,2,1,1, , , ,3,2,2,2,4,1,1,1,1,2,1,1,1,0, , , ,1,50,2,2,6,1,2,2,1, , , ,1, ,9,2, ,2,2, , ,2,.7027417,.5825802
138429,2,1,1/28/2021,1,5,1,R,2,1,1,1,1,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,1,2,2, , , , ,1,2,2,2,3,1,1,1,1,2,1,1,1,4,1,2,1,1,18,6,2,3,4,2,2,1, , , ,1, ,8,3,2,6,3, , ,2,.8639472,.7358299
138741,2,1,2/4/2021,1,51,4,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,1,1,1,1,1,2,2, ,2, ,3,2,2,2,2,1,1,1,1,1,1,1,2,30,1,1,1,2,75,5,2,6,4,2,1,2, , , ,2,1,4,1, ,2,2, , ,1,.5584039,1.029749
138742,2,1,2/4/2021,1,26,2,S,2,2,1,1,4,1,1,3, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,5,2,2,2,4,1,1,1,8,1,2,1,2,0, , , ,2,68,3,2,3,3,2,2,1, , , ,1, ,4,2, ,1, , , ,1,1.0361752,2.2723671
138873,2,1,1/29/2021,1,39,4, ,2,1,1,1,1,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,2,2,2,2,2,2, ,3, , ,1,2,2,2,2,2,3,3,2,8,1,1,1,0, , , ,1,70,6,2,3,3,2,2,1, , , ,1, ,3,3,1,1, , , ,2,1.2477706,1.3884518
138969,2,1,2/2/2021,1,8,3,S,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,4,2,4, ,1,2,2, ,3,1,1,1,1,2,2,1,1,10,1,1,2,2,27,6,2,8,1,2,2,1, , , ,1, ,5,3,2,3,2, , ,2,1.1704763,.8858528
138998,2,1,1/29/2021,1,1,1,R,2,1,1,1,1,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,1,2,2,2,3,2,1,1,1,1,1,1,2,96,1,2,1,1,73,1,2,8,3,1,2,1, , , ,1, ,7,2, ,2,9, , ,2,.3110796,.400566
139181,2,1,2/1/2021,1,8,3,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2, ,1,2,2, ,2,3,3,3,2,3,1,1,1,1,2,1,1,1,50,1,2,6,1,2,2,3, , , ,3, ,8,3,2,4,4, , ,2,.875898,.7826229
139279,2,1,2/3/2021,1,41,4,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,1,1,1,2,2,1,2,2,1,1,2,2,4,4, , ,3,2,2, ,2,1,1,1,1,1,2,1,2,6,1,2,1,1,28,2,2,6,1,2,2,1, , , ,1, ,5,2, ,2,2, , ,2,.7038354,.5519699
139479,2,1,2/2/2021,1,19,2,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,5,3,1, ,2,2,2, ,3,1,1,1,1,2,1,1,2,4,1,2,2,1,42,1,2,8,1,2,2,1, , , ,1, ,6,2, ,2,2, , ,2,.7358731,.6032261
139505,2,1,1/28/2021,1,48,2,U,2,1,2,2, ,1,1,8, , ,2,2,2,8, ,2,2,2, , ,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, , , ,3,8,3,8,8,2,2,2,0, , , ,1,72,1,2,3,3,2,2,1, , , ,1, ,5,2, ,2,2, , ,2,.9026836,1.0948105
139537,2,1,2/1/2021,1,6,3,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,2,2,1,2,2,1,2, ,1, ,1,2,2,2,3,2,2,1,1,3,1,1,2,12,1,1,2,1,60,1,1,8,3,2,2,9, , , ,9, ,9,1, ,7,3, , ,1,.3849328,.3946651
139562,2,1,2/6/2021,1,34,5,S,2,1,1,1,2,1,2, , , ,1,2,2,2,1,1,2,2, ,4,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2, ,2, ,3,1,2, , ,4,1,1,1,1,1,2,2,1,50,1,1,2,1,24,2,2,4,1,2,1,1, , , ,1,1,6,2, ,2,2, , ,2,1.4196724,1.078957
139609,2,1,1/26/2021,1,12,3,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,1,2,1,2,2,2,4, ,3, ,5,2,2,2,3,2,2,1,2,1,1,1,2,50,1,2,1,1,69,1,2,8,3,2,2,1, , , ,1, ,9,2, ,2,2, , ,2,.3478902,.4094218
139664,2,1,2/2/2021,1,31,4,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,1,1,2,2,1,4,3,1, ,4,2,2,2,4,2,1,2,1,2,1,1,2,25,1,2,1,2,53,1,2,4,2,2,2,1, , , ,1, ,7,3,1,2,2, , ,1,1.2664454,1.1574173
139887,2,1,2/2/2021,1,26,2,S,2,1,1,1,2,1,2, , , ,1,2,2,2,1,2,1,2, ,5,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2, , ,2, ,2,2, , ,4,2,2,2,2,1,2,2,2,20,1,1,2,1,35,1,1,8,1,2,2,9, , , ,9, ,9,3,1,5,2, , ,2,.7358731,.6032261
139892,2,1,2/1/2021,1,4,3,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2, ,1,3,1,3,2,2, ,2,1,3,1,1,2,1,1,1,5,1,2,1,2,28,2,2,3,1,2,1,7, , , ,5,1,2,3,9,5,3, , ,2,2.4596811,2.2723671
139919,2,1,2/4/2021,1,15,2,R,2,2,1,2,3,2,1,2, , ,2, , , , , , , , , ,1, , , , ,2,2,1,2,2,2,1,2,2,2,2, , ,2, , ,2,2,2,2,2,2,2,2,2,1,1,2,0, , , ,2,75,3,2,4,3,2,2,6, , , ,5, ,3,2, ,3,3, , ,1,1.9529842,2.2723671
139925,2,1,2/2/2021,1,42,5,U,2,2,1,1,4,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2, ,3,3, , ,1,1, ,1,1,1,1,1,1,2,1,2,2,2,2,2,2,75,5,2,3,3,2,2,2, , , ,2, ,5,2, ,3,2, , ,1,2.4596811,2.2723671
