Entity,Code,Year,$40 - total number of people above poverty line,$30-$40 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$6.85-$10 - total number of people between poverty lines,$3.65-$6.85 - total number of people between poverty lines,$2.15-$3.65 - total number of people between poverty lines,$1-$2.15 - total number of people between poverty lines,$1 - total number of people below poverty line
Italy,ITA,2015,29879547,10352258,10488301,6607344,1053812,797065,368697,369727,813831
Italy,ITA,2016,30600508,10332107,10290801,6395002,944771,699277,376837,289576,698619
Italy,ITA,2017,30725425,10407668,10030477,6389308,969317,908412,245491,219146,641465
Italy,ITA,2018,30972931,10680371,9825621,6128160,883970,659927,390044,295479,585257
Jamaica,JAM,1988,48248,42027,126087,585433,493812,687053,295993,96088,14674
Jamaica,JAM,1990,39544,41890,118968,526138,496648,795910,331098,66354,3351
Jamaica,JAM,1993,5545,14897,48660,332800,482584,949110,466676,163594,20717
Jamaica,JAM,1996,53364,48463,130863,607598,622948,803147,226674,59235,6339
Jamaica,JAM,1999,120185,103385,225534,815271,567195,576468,163700,55850,5089
Jamaica,JAM,2002,169696,108188,263734,736929,516555,658343,182076,48649,8673
Jamaica,JAM,2004,150772,114238,275950,814959,577055,594878,165085,32080,0
Japan,JPN,2008,55709191,23691542,24678790,18317496,2822590,1583603,645309,299751,314728
Japan,JPN,2010,71102865,25643652,23020119,7125261,559550,307592,310961,0,0
Japan,JPN,2013,66320433,28973885,21379916,7601928,1325044,641473,274664,684621,243036
Jordan,JOR,1986,172680,168801,453911,1243521,561707,412900,1774,0,0
Jordan,JOR,1992,139965,116826,330253,1254210,843726,1019462,247826,23302,2097
Jordan,JOR,1997,96498,91596,301272,1605301,1230235,1318997,184920,17161,2556
Jordan,JOR,2002,182489,190686,478577,1970249,1285667,1067141,132326,9883,496
Jordan,JOR,2006,217417,238059,688144,2683290,1353658,759111,46422,5446,0
Jordan,JOR,2008,235484,287929,729711,3009146,1506680,750564,36251,708,0
Jordan,JOR,2010,362495,364925,1035029,3450572,1454619,566258,24676,2967,0
Kazakhstan,KAZ,1993,164,0,214563,1778674,2887757,6738116,3379639,1381759,0
Kazakhstan,KAZ,1996,19635,21107,228254,2123501,2968286,5658250,3322203,1102984,134007
Kazakhstan,KAZ,2001,14369,27704,149747,1370255,2234114,5474511,3683626,1736840,167169
Kazakhstan,KAZ,2002,18504,33272,162474,1540959,2361433,5780337,3641399,1257579,62991
Kazakhstan,KAZ,2003,18978,31821,187609,1879108,2716140,5906535,3249268,884531,35029
Kazakhstan,KAZ,2004,23651,33745,194652,2015051,3088971,6414568,2744409,487295,10642
Kazakhstan,KAZ,2005,63726,111544,468872,2559464,2634748,5000566,2996161,1229114,82834
Kazakhstan,KAZ,2006,59532,65394,356834,3074090,3980724,6482958,1133716,152882,1955
Kazakhstan,KAZ,2007,86487,103090,563644,4239911,4613888,5185880,631593,59699,0
Kazakhstan,KAZ,2008,70306,106554,525841,4444182,4844346,5254331,493061,38317,0
Kazakhstan,KAZ,2009,48916,91553,520688,4544132,4841866,5403195,603179,39293,0
Kazakhstan,KAZ,2010,59874,125944,668153,5105904,5131717,4762500,435932,31573,275
Kazakhstan,KAZ,2011,115369,232123,1237426,6755639,5042918,2997137,164819,11771,0
Kazakhstan,KAZ,2012,125284,263881,1281395,7015995,4915466,3038115,145502,6452,0
Kazakhstan,KAZ,2013,144509,289397,1413145,7807654,5042611,2261677,70918,5640,0
Kazakhstan,KAZ,2014,128106,256655,1314403,7787556,5239479,2474403,84351,3332,0
Kazakhstan,KAZ,2015,106155,200668,1145303,7405798,5664429,2902999,110740,6714,0
Kazakhstan,KAZ,2016,71877,199696,944281,6571652,5777748,4004808,215002,8991,0
Kazakhstan,KAZ,2017,128693,254834,1208149,7291783,5757402,3266006,123424,7485,0
Kazakhstan,KAZ,2018,189045,345801,1461373,7805301,5863750,2524145,84270,2767,0
Kenya,KEN,1992,145563,217325,589909,2653777,2747849,6617711,5656428,5149513,1548005
Kenya,KEN,1994,78740,101593,235371,1582754,2524161,8003203,7449745,5292073,1682868
Kenya,KEN,1997,157305,203554,377487,1884003,2645200,8420991,8257348,6876656,593116
Kenya,KEN,2005,134520,123724,262383,1791130,2307204,8419627,10154553,10389247,3042509
Kenya,KEN,2015,78883,69261,362540,2506831,3817664,12520659,14462976,12144173,1915352
Kiribati,KIR,2006,197,251,1657,6401,12776,37396,22430,11879,1354
Kiribati,KIR,2019,207,97,585,11404,24380,58094,20892,1949,0
Kosovo,OWID_KOS,2003,100,536,9930,197618,342160,782500,329775,40847,0
Kosovo,OWID_KOS,2005,0,198,26027,237398,297188,762340,310828,71801,0
Kosovo,OWID_KOS,2006,0,0,25529,199753,322821,787655,313691,70087,0
Kosovo,OWID_KOS,2009,371,2094,47379,280880,375079,748507,247102,60062,0
Kosovo,OWID_KOS,2010,482,3547,60343,312475,366718,714335,266385,51395,0
Kosovo,OWID_KOS,2011,80,0,32368,302494,432456,803425,186501,33676,0
Kosovo,OWID_KOS,2012,4784,7055,39132,451741,538568,638851,111887,15088,0
Kosovo,OWID_KOS,2013,4522,2730,43270,452510,617362,611881,77747,7678,417
Kosovo,OWID_KOS,2014,1854,5861,44464,472350,567413,608806,91413,20096,514
Kosovo,OWID_KOS,2015,1739,5903,51484,524761,565913,569994,54458,13043,901
Kosovo,OWID_KOS,2016,1873,8189,51035,531171,563267,538459,69970,11907,1686
Kosovo,OWID_KOS,2017,8357,14764,60227,481362,614446,537371,66591,4957,2928
Kyrgyzstan,KGZ,1998,18020,22710,62080,334600,504962,1372974,1098139,996165,359350
Kyrgyzstan,KGZ,2000,0,0,0,50851,185502,955034,1836684,1722231,148098
Kyrgyzstan,KGZ,2001,0,0,3747,59323,182594,1161741,1888163,1562798,86734
Kyrgyzstan,KGZ,2002,0,0,0,79019,190636,1243098,1923376,1458545,96026
Kyrgyzstan,KGZ,2003,0,0,0,82925,215584,1338782,2109721,1240021,56267
Kyrgyzstan,KGZ,2004,8370,5365,14459,475790,515508,1827482,1666833,572986,17907
Kyrgyzstan,KGZ,2005,2540,7007,19413,250626,510709,1806363,1865127,681902,18913
Kyrgyzstan,KGZ,2006,23019,16344,67378,547626,760783,1872895,1493500,426913,9942
Kyrgyzstan,KGZ,2007,7275,7186,47340,502350,794523,2139036,1309565,457169,3956
Kyrgyzstan,KGZ,2008,9069,17253,61369,564992,1071686,2384870,1033450,172996,3015
Kyrgyzstan,KGZ,2009,10259,12250,52548,638035,1032150,2633939,920843,80428,2848
Kyrgyzstan,KGZ,2010,6608,10531,46420,557826,984868,2677181,972623,149658,42185
Kyrgyzstan,KGZ,2011,4836,11787,43191,507586,1053044,2829859,994936,67889,1472
Kyrgyzstan,KGZ,2012,3952,7792,41544,465814,980008,2986923,973708,135277,12182
Kyrgyzstan,KGZ,2013,4218,6326,43028,495631,977008,2814247,1229288,147702,2152
Kyrgyzstan,KGZ,2014,6672,7194,36696,513995,1138645,3105136,965980,59083,2099
Kyrgyzstan,KGZ,2015,15556,11151,50398,482136,999540,3142411,1125812,124347,5549
Kyrgyzstan,KGZ,2016,3094,7403,40702,596536,1100032,3297274,964939,66864,2656
Kyrgyzstan,KGZ,2017,9080,9761,36704,574717,1212924,3279967,996418,77724,905
Kyrgyzstan,KGZ,2018,8002,15208,66164,702853,1354049,3340965,789030,45549,980
Kyrgyzstan,KGZ,2019,35011,22264,76988,743847,1462749,3361210,711581,35082,7468
Kyrgyzstan,KGZ,2020,10103,12294,64689,692806,1356382,3221758,1145836,86257,1475
Laos,LAO,1992,3102,4241,12204,170105,253797,1244750,1745529,1019027,47591
Laos,LAO,1997,1510,6028,12183,85748,164968,805824,1792544,1988203,193300
Laos,LAO,2002,4141,1620,20889,134925,283992,1458572,2195478,1349823,43807
Laos,LAO,2007,6102,9229,36473,243822,401104,1772001,2314187,1104926,57106
Laos,LAO,2012,12207,20950,73097,505080,755416,2468081,1907820,690004,11872
Laos,LAO,2018,38835,38597,149111,779496,1076097,2686742,1788545,492920,11155
Latin America and the Caribbean,,1990,16922638,11578995,25404193,79471523,61834878,105361855,63839564,47979673,25179956
Latin America and the Caribbean,,1991,16513241,11464590,26248385,82632371,65233384,109005098,64339616,45749731,24462319
Latin America and the Caribbean,,1992,15349208,11479298,26349405,83333635,66564435,112664888,66049986,46166383,25728588
Latin America and the Caribbean,,1993,19083357,12211565,26976371,82906421,65549593,114358128,68479870,46445819,25672151
Latin America and the Caribbean,,1994,21672829,12705859,28849566,88227061,69229213,114600826,66624015,43853800,23881062
Latin America and the Caribbean,,1995,22713530,12743880,28717721,89651259,69056629,116465488,69245055,45350149,23624966
Latin America and the Caribbean,,1996,22478727,12968455,29162702,89029698,67253579,115718674,70245471,49551441,29048449
Latin America and the Caribbean,,1997,23485717,14088393,30948577,93204346,69753004,117590594,68508955,48273782,27445228
Latin America and the Caribbean,,1998,24472326,14710231,32437380,96408578,72362573,119820760,68102346,47143847,25608841
Latin America and the Caribbean,,1999,23992408,14374402,31363533,95414233,74880837,123428285,70657763,48542072,26068580
Latin America and the Caribbean,,2000,26351187,15551861,32776146,103242426,77152499,123225902,68113560,45227883,24601742
Latin America and the Caribbean,,2001,26898575,15452373,34494084,105148394,79448370,123603356,69245379,45599884,23716989
Latin America and the Caribbean,,2002,26276179,14428509,34853787,107230399,82807024,126763515,72434202,45814533,20207482
Latin America and the Caribbean,,2003,26548737,15862206,35771565,109707967,82969407,130383825,71405319,45124584,20113137
Latin America and the Caribbean,,2004,27205430,17348028,37992309,115668190,85686783,131579397,69198885,42325113,17856413
Latin America and the Caribbean,,2005,30128553,18160322,41569628,124687604,87256231,127988958,64311825,39622979,18036494
Latin America and the Caribbean,,2006,34096532,20697258,46500137,135139640,91219386,124708417,58644953,32983107,14606002
Latin America and the Caribbean,,2007,36349482,21946105,49756257,142609512,91436958,122035834,55264348,30908343,15048948
Latin America and the Caribbean,,2008,38491680,23283610,52805763,148929872,92659448,119418861,53262158,29623603,13581194
Latin America and the Caribbean,,2009,38829432,23663016,53792368,151611984,94927116,122417956,52305867,28710358,12452575
Latin America and the Caribbean,,2010,40956397,25092250,56985359,158057602,97201334,120412023,48791236,25913101,11811248
Latin America and the Caribbean,,2011,44347739,27076783,60374460,164418766,97313039,117440074,45580850,24092668,11214477
Latin America and the Caribbean,,2012,47793304,29425905,63168733,169285727,96954640,115949727,45565381,22961138,7345448
Latin America and the Caribbean,,2013,50403501,30694804,65816994,171857841,98607706,115927104,44259614,21300958,6113931
Latin America and the Caribbean,,2014,50370405,30821606,68093771,175264519,100997371,116740413,43029399,20564961,5552076
Latin America and the Caribbean,,2015,52613092,31749564,70282637,179342763,100632970,115174493,42149913,20909852,4933185
Latin America and the Caribbean,,2016,53786742,32255917,71320030,181943432,100983629,113792325,42464244,21547561,5944047
Latin America and the Caribbean,,2017,54614517,33812187,73482529,185626277,100921262,112927435,41209866,21636195,5953299
Latin America and the Caribbean,,2018,55220445,34975102,75608555,188791647,101536580,112245529,40582918,21317374,5948430
Latin America and the Caribbean,,2019,55651018,35897639,76984984,192193235,101470148,112055901,40157920,21490249,6267067
Latvia,LVA,1993,26,5227,86707,659943,783557,928717,98700,413,0
Latvia,LVA,1995,23737,26783,104939,869344,737574,565823,156096,760,0
Latvia,LVA,1996,20882,22356,88952,815585,754935,563751,147377,43384,0
Latvia,LVA,1997,23110,29553,128431,724854,607836,696501,169114,48399,5053
Latvia,LVA,1998,24047,35802,108529,750058,659820,638950,150483,38379,3951
Latvia,LVA,2002,63254,66037,239139,954313,517481,385627,67754,13079,3489
Latvia,LVA,2003,96741,122181,288428,944842,484802,273624,63507,13483,347
Latvia,LVA,2004,87889,96187,317360,1013367,395036,299054,47792,5978,459
Latvia,LVA,2005,106982,102361,299268,892614,451098,270659,62936,27040,25841
Latvia,LVA,2006,138734,190028,417213,963063,301135,147671,26055,17891,16567
Latvia,LVA,2007,213808,227258,456448,924682,229534,130345,17781,469,0
Latvia,LVA,2008,223626,198830,509686,855734,237790,133885,17180,591,0
Latvia,LVA,2009,123754,137235,402190,909806,325278,210893,24912,7601,0
Latvia,LVA,2010,135742,149264,406428,898647,258703,168350,44077,22788,13556
Latvia,LVA,2011,147710,144067,376640,910895,249070,168139,42002,13221,7965
Latvia,LVA,2012,149694,171249,389584,884527,227744,155369,34432,12198,9522
Latvia,LVA,2013,205559,192717,427114,836811,187720,112592,26679,12020,11435
Latvia,LVA,2014,244809,225749,467061,770470,143656,103234,23025,8884,6894
Latvia,LVA,2015,280173,265190,498470,722407,114883,63889,19655,6112,6748
Latvia,LVA,2016,328865,275963,487692,671196,105803,61148,16193,7543,5134
Latvia,LVA,2017,384019,304842,472293,596668,96141,58426,14375,10867,4617
Latvia,LVA,2018,456320,310262,513270,509942,78849,40334,11259,4134,2804
Latvia,LVA,2019,480717,336420,525276,451639,69406,34915,10873,591,3985
Lebanon,LBN,2011,1135015,936656,1481009,1381697,180131,84334,3180,0,0
Lesotho,LSO,1986,6429,5129,14014,65825,80497,245754,299527,424001,420511
Lesotho,LSO,1994,12532,11278,37522,137185,120525,272453,269431,393348,607049
Lesotho,LSO,2002,770,2146,3864,34089,58414,221237,362740,618067,728505
Lesotho,LSO,2017,4606,4907,24809,149454,213902,550832,465367,514437,163218
Liberia,LBR,2007,847,800,1656,37998,80935,471815,1021007,1368556,478297
Liberia,LBR,2014,51,787,11839,133182,275601,1296675,1510919,1050062,80392
Liberia,LBR,2016,3452,903,7917,159532,336424,1299631,1512161,1145273,121495
Lithuania,LTU,1993,11426,10381,34453,270387,542228,1692066,877995,243677,0
Lithuania,LTU,1996,49750,62709,229991,1380265,929237,774464,175197,0,0
Lithuania,LTU,1998,46948,75820,300517,1421358,889509,700472,103257,11172,278
Lithuania,LTU,1999,50057,63996,266655,1431266,912507,654503,134924,10330,0
Lithuania,LTU,2000,34161,60754,240750,1329494,899961,767555,158279,8582,0
Lithuania,LTU,2001,36200,56985,236392,1292143,911962,768636,148420,17133,2947
Lithuania,LTU,2002,35889,61222,223086,1295185,891406,778389,140544,17346,0
Lithuania,LTU,2003,145443,145333,449632,1464615,679884,467244,56413,6649,0
Lithuania,LTU,2004,132976,183199,493983,1474220,604586,418342,66646,3123,0
Lithuania,LTU,2005,152992,179227,447932,1601959,443982,350633,86605,34541,24657
Lithuania,LTU,2006,255238,256885,697653,1504186,272460,189496,44190,35247,14554
Lithuania,LTU,2007,378486,366628,837885,1212945,238835,135017,18213,20308,22977
Lithuania,LTU,2008,261042,291878,645231,1313150,442747,207282,32123,4778,0
Lithuania,LTU,2009,305204,316418,689046,1199861,329368,187437,64630,39900,31052
Lithuania,LTU,2010,179031,277871,699423,1264767,353559,224550,50558,16974,30549
Lithuania,LTU,2011,220652,325874,749953,1226030,293473,163763,27156,7662,13552
Lithuania,LTU,2012,299272,318343,759436,1115072,287177,148402,31753,9399,18919
Lithuania,LTU,2013,347441,332313,717029,1124169,265969,111461,38455,7532,13320
Lithuania,LTU,2014,403628,398061,711347,1002951,231294,107136,40943,19940,17067
Lithuania,LTU,2015,540413,383349,769132,857072,216729,96447,20857,6709,14202
Lithuania,LTU,2016,579621,424207,773993,801929,149287,76159,26594,18321,18120
Lithuania,LTU,2017,701140,422901,751076,724249,104295,81576,14245,5986,22935
Lithuania,LTU,2018,779201,510572,754658,581844,94583,43152,11618,14193,11722
Lithuania,LTU,2019,903072,540725,738347,503660,62640,26453,3930,6083,9227
Luxembourg,LUX,1985,142103,89864,96394,36616,864,0,865,0,0
Luxembourg,LUX,1991,271126,64809,45910,5155,0,0,0,0,0
Luxembourg,LUX,1994,297339,66263,35587,2887,849,0,0,0,0
Luxembourg,LUX,1997,315659,50429,42182,10491,0,689,0,0,0
Luxembourg,LUX,2000,344688,50370,35888,5354,0,0,0,0,0
Luxembourg,LUX,2003,370806,44816,28404,4844,445,1958,33,21,303
Luxembourg,LUX,2004,381882,45190,24940,4827,954,206,13,73,10
Luxembourg,LUX,2005,391761,40657,26646,5048,379,245,261,92,69
Luxembourg,LUX,2006,395113,44282,28789,3688,558,189,18,0,0
Luxembourg,LUX,2007,405135,44949,25492,4109,176,27,0,98,7
Luxembourg,LUX,2008,401288,48168,32191,5286,1169,548,0,0,0
Luxembourg,LUX,2009,407145,56061,29506,3497,459,775,120,0,220
Luxembourg,LUX,2010,417782,55770,25695,6181,230,1108,187,0,0
Luxembourg,LUX,2011,412687,59945,39475,5029,124,369,109,439,170
Luxembourg,LUX,2012,411851,67349,43619,6184,176,1448,87,74,158
Luxembourg,LUX,2013,435406,59225,38827,8327,192,720,179,122,362
Luxembourg,LUX,2014,459063,53118,35475,6611,460,488,326,60,718
Luxembourg,LUX,2015,445554,59527,45882,13425,1373,1796,337,661,1049
Luxembourg,LUX,2016,476509,60149,32541,6780,3195,2068,90,295,387
Luxembourg,LUX,2017,468013,63916,40420,14627,4088,2993,591,632,1056
Luxembourg,LUX,2018,488828,54960,42378,15502,2213,1768,569,1170,562
Luxembourg,LUX,2019,504252,62080,40128,11087,859,848,120,0,627
Madagascar,MDG,1980,20408,16527,48047,265643,393810,1536014,2191268,2873408,1371424
Madagascar,MDG,1993,32503,5872,10907,94264,175414,978773,2092865,5666572,3618299
Madagascar,MDG,1997,3190,2488,12898,86070,184632,1293624,2811804,6033160,3919994
Madagascar,MDG,1999,0,322,4576,87224,250012,1479705,3241649,6263911,3955125
Madagascar,MDG,2001,889,5633,17763,254837,382230,1589616,2465289,5619321,5925355
Madagascar,MDG,2005,7026,12028,19643,130210,201375,1392518,2964157,8672000,4937765
Madagascar,MDG,2010,9538,1815,13074,137899,249424,1203660,2582190,8661700,8292340
Madagascar,MDG,2012,0,1370,13242,116987,275754,1288402,2610430,8392135,9648321
Malawi,MWI,1997,44068,15135,48510,214731,315412,1157324,2469396,4746526,1253804
Malawi,MWI,2004,3017,11025,35682,123779,173194,1028745,2454786,5877498,2594111
Malawi,MWI,2010,17096,19435,43487,201136,271298,1295468,2743469,5986055,3962165
Malawi,MWI,2016,13541,5269,30673,195030,297958,1648602,3704183,8164116,3145881
Malawi,MWI,2019,3484,4292,8561,148745,338796,1534112,3539346,8739726,4311687
Malaysia,MYS,1984,621229,472467,1226740,4166928,2744153,3700899,1713242,520092,26550
Malaysia,MYS,1987,637169,490103,1282749,4419121,3065076,4186238,1968048,466807,6693
Malaysia,MYS,1989,628398,493275,1319869,4732331,3352498,4579107,2030231,386151,7101
Malaysia,MYS,1992,938777,693073,1712044,5257006,3359328,4429116,2226429,386887,0
Malaysia,MYS,1995,1079210,784798,1924150,5757470,3567522,4631936,2235383,507135,0
Malaysia,MYS,1997,1730882,1175570,2651286,6586156,3466388,4060827,1736889,154792,0
Malaysia,MYS,2003,1692714,1386188,3056173,7499444,4194079,4833809,1648333,372152,15929
Malaysia,MYS,2006,2105107,1712717,3628158,8489743,4402422,4588461,1073555,188854,12937
Malaysia,MYS,2008,2461266,1875759,3967631,8538964,4378705,4565903,1258056,183195,6524
Malaysia,MYS,2011,3801912,2667999,4929197,9542765,4013478,3167196,488325,39783,307
Malaysia,MYS,2013,4738188,3325418,6043753,10284514,3146172,1759278,161587,9171,842
Malaysia,MYS,2015,6097448,3887251,6403651,9755764,2668304,1340100,112684,5763,0
Maldives,MDV,2002,1164,1123,4481,33722,43843,127758,62654,18724,716
Maldives,MDV,2009,4219,3352,9058,77718,80590,114758,50363,13278,55
Maldives,MDV,2016,26635,34570,101848,232923,53469,24847,1213,0,0
Maldives,MDV,2019,28662,39727,101667,270022,70252,20627,0,0,0
Mali,MLI,1994,3917,2090,10094,64180,104843,435476,826708,2439985,5447600
Mali,MLI,2001,251,8553,18805,148904,318879,1768802,2565435,4741403,1700571
Mali,MLI,2006,858,2441,29935,283572,509697,2180840,3637104,5124173,1434758
Mali,MLI,2009,20,0,570,152567,438852,2519257,4445975,6185405,838781
Mali,MLI,2018,7128,55924,167074,1377681,2114755,6296284,6237034,2771714,50161
Malta,MLT,2006,119960,93492,109963,72774,5767,962,315,1672,403
Malta,MLT,2007,146744,89299,100466,60836,4800,1914,996,795,874
Malta,MLT,2008,151545,92676,97045,64019,1681,1436,531,180,266
Malta,MLT,2009,143062,93092,104296,64624,3276,1912,440,878,897
Malta,MLT,2010,152038,92327,103932,60965,3327,815,195,364,545
Malta,MLT,2011,157573,98252,95301,61198,1600,758,813,90,683
Malta,MLT,2012,168907,100828,90219,55828,2402,691,659,385,109
Malta,MLT,2013,189876,99935,87032,45878,2422,698,0,126,0
Malta,MLT,2014,216462,93723,82852,38860,2044,506,111,0,0
Malta,MLT,2015,218281,99252,85674,39030,1530,860,50,0,376
Malta,MLT,2016,250780,92366,75369,34463,1019,531,409,75,344
Malta,MLT,2017,260460,93607,77425,33117,1933,449,260,295,453
Malta,MLT,2018,283982,89909,77130,30958,1279,255,616,329,172
Malta,MLT,2019,309893,97629,63993,26644,2464,1201,702,754,782
Marshall Islands,MHL,2019,943,1497,4745,18096,15067,14850,3091,502,0
Mauritania,MRT,1987,19,0,11248,70594,109955,418607,491597,482896,294840
Mauritania,MRT,1993,22,0,5898,74379,113182,436358,626667,768476,173556
Mauritania,MRT,1995,1417,4000,15489,142425,206804,745247,693135,415091,90022
Mauritania,MRT,2000,714,3354,23220,205863,268104,837690,726091,505600,59581
Mauritania,MRT,2004,8948,8347,38843,187157,267127,980062,915983,489690,43089
Mauritania,MRT,2008,1631,5011,26748,373513,528120,1151293,819560,353926,36435
Mauritania,MRT,2014,3421,11678,45304,455928,790157,1593802,775456,234039,21109
Mauritius,MUS,2006,33285,35412,107779,458902,317336,246226,31260,3796,0
Mauritius,MUS,2012,49914,45939,120881,509166,286678,210211,27914,5179,0
Mauritius,MUS,2017,64013,52643,163632,569093,244278,148358,21011,1585,0
Mexico,MEX,1984,2062478,1495990,3792559,15029238,11968684,21022378,12804970,5455125,721209
Mexico,MEX,1989,2189711,1796683,4194406,15958659,13959457,24322690,12490041,5813565,1643718
Mexico,MEX,1992,3789488,2431414,5855669,18144625,15368506,23351730,11709853,5706657,717194
Mexico,MEX,1994,4563934,2177377,5976013,19946758,15480839,23589418,11831206,5438476,1152375
Mexico,MEX,1996,2231530,1538154,3396619,14218453,12842151,24881790,17181641,11549428,5307279
Mexico,MEX,1998,2477625,2046069,5400287,17429730,15683837,26323047,14301298,9757389,2637031
Mexico,MEX,2000,4242725,2620819,6070574,21815973,16503382,26589196,12231838,7139857,1685481
Mexico,MEX,2002,4349514,2483997,6961691,22328446,19486351,26802446,12572439,5531556,1168324
Mexico,MEX,2004,4453517,3446018,7670873,25065855,19849850,27331849,10477795,4920051,1299126
Mexico,MEX,2005,4653512,3228973,8147527,27056421,19566861,26299733,10114636,5403500,1534036
Mexico,MEX,2006,5323131,3622820,8688215,29159484,20800016,25864606,9635555,3714164,752164
Mexico,MEX,2008,5622311,3849282,9677891,29547145,20252114,25807147,10117267,4725173,1216942
Mexico,MEX,2010,4905668,3638037,8973394,30217020,22905458,28895454,9402777,4105726,1049427
Mexico,MEX,2012,6461221,4029532,9363766,32463358,23421850,27179660,9851566,3664964,838239
Mexico,MEX,2014,5476332,3670691,8738572,31089852,25285297,31638817,9986174,3785716,683686
Mexico,MEX,2016,6428237,4254749,11196845,34902663,25134727,28206692,9244408,3398521,566537
Mexico,MEX,2018,6335643,4743163,11958754,38048778,25912667,27376995,8496746,2853803,464233
Mexico,MEX,2020,5962963,4606755,11766049,38846427,25786235,29156797,8810605,3292397,704525
Micronesia (country),FSM,2005,939,1599,3808,17613,18769,34688,19634,8659,426
Micronesia (country),FSM,2013,168,374,1225,10485,14419,36172,26101,12552,4426
Micronesia (country) - urban,,2000,272,216,529,2132,2041,4346,4028,4479,5941
Middle East and North Africa,,1990,1711288,1818904,6128476,35963667,41450593,82407567,44591374,13309018,690295
Middle East and North Africa,,1991,1955111,1980678,6554874,33469861,37917124,84406380,51664308,15389098,657740
Middle East and North Africa,,1992,2314207,2359024,7278639,35045792,39904154,88521014,51007421,12876225,505482
Middle East and North Africa,,1993,2520947,2516858,7605877,36408764,41688409,92003477,50238257,12049638,469196
Middle East and North Africa,,1994,2416593,2541971,7661401,37077938,42402091,95016343,51749026,11759195,421136
Middle East and North Africa,,1995,2294556,2444560,7394128,36098257,42635501,97958221,54146147,12963840,502397
Middle East and North Africa,,1996,2463637,2593795,7781892,37898175,44556042,100606917,53113827,12187343,466622
Middle East and North Africa,,1997,2687998,2773901,8369799,40938332,47150038,101614630,50894314,11852038,472867
Middle East and North Africa,,1998,3065577,3178659,9645419,46639730,50730637,99928998,47212417,10842504,448592
Middle East and North Africa,,1999,3243771,3430769,10474738,50119874,52664202,100213936,45428584,10584527,444511
Middle East and North Africa,,2000,3717369,3938311,12064655,54679510,53639871,99577893,43802990,9698557,428431
Middle East and North Africa,,2001,4123656,4291878,12889099,56313010,53970294,100179307,44779949,9592597,404174
Middle East and North Africa,,2003,4926393,4824295,13072006,53274907,54234480,109635766,47229606,9196623,335747
Middle East and North Africa,,2004,5851956,5616189,15240468,61659769,57201867,103795897,43755962,8535918,290244
Middle East and North Africa,,2005,6655392,6516457,16669699,64842563,58512072,103825310,41994888,7979754,270633
Middle East and North Africa,,2006,7429736,6612576,16989917,65601507,59206565,106626845,42127816,7832477,262745
Middle East and North Africa,,2007,8418142,7348346,18582233,68484492,60583643,106640843,40318334,7569328,285164
Middle East and North Africa,,2008,8103429,7548297,19402267,71944862,63422677,106704110,39138219,7328407,327434
Middle East and North Africa,,2009,7831717,7782986,19991405,74676860,66260179,108695621,37252391,6896695,389298
Middle East and North Africa,,2010,8068085,8191716,21022128,79701876,69360523,109113764,34265560,5758136,337489
Middle East and North Africa,,2011,8333288,8540178,22655579,85930798,71487736,106507142,31467394,6717500,424547
Middle East and North Africa,,2012,7896051,8312684,22380611,88569362,74284653,109312402,30585882,6730964,423850
Middle East and North Africa,,2013,7736970,8253370,23085656,91397414,75125081,109984612,31697697,7423679,350731
Middle East and North Africa,,2014,7444735,7932446,22837362,92110268,76896707,111146231,34022796,8793501,473047
Middle East and North Africa,,2015,7679080,7864747,22555487,92969476,77036377,107128508,35203786,16160792,1644644
Middle East and North Africa,,2016,8117220,8367174,24460597,96463746,76089204,105015753,35876002,17816612,2566926
Middle East and North Africa,,2017,8787060,8953509,25165933,96442553,74920725,106247513,37968879,19348210,3420001
Middle East and North Africa,,2018,9005535,8941981,25028322,95950833,73966921,105505471,40307905,24436930,4640745
Moldova,MDA,1997,6757,5746,23905,258166,421741,1072791,764522,317032,64864
Moldova,MDA,1998,5259,6715,16686,167752,277150,903449,851696,577430,128202
Moldova,MDA,1999,3085,10363,20023,141268,163790,658651,950834,829266,152455
Moldova,MDA,2000,201,3797,9768,91375,164711,763653,981438,790488,118352
Moldova,MDA,2001,2438,8085,20781,147215,236820,894576,928909,600288,78140
Moldova,MDA,2002,2349,6744,23078,246838,393002,1060679,783190,377267,17357
Moldova,MDA,2003,8473,13051,43069,339918,477913,1214895,642218,159687,3096
Moldova,MDA,2004,7612,14000,45662,316221,478631,1201618,641759,183369,6275
Moldova,MDA,2005,5313,9428,39694,257024,403201,1142558,716815,289017,25061
Moldova,MDA,2006,30254,32193,142638,803631,664634,901880,248342,49778,6745
Moldova,MDA,2007,34485,63362,171228,940052,731810,745476,159648,24056,3312
Moldova,MDA,2008,34589,34524,185437,886205,752220,767535,179995,26624,835
Moldova,MDA,2009,19525,43557,181615,971824,702299,757803,168875,17839,1009
Moldova,MDA,2010,25950,40956,169662,996873,767740,732684,115878,11744,0
Moldova,MDA,2011,21646,46992,159736,1077843,780954,683622,82843,6197,0
Moldova,MDA,2012,19885,37734,164143,1061313,836869,673372,62181,3961,0
Moldova,MDA,2013,20354,42615,206381,1174671,812204,555810,45937,720,0
Moldova,MDA,2014,11732,37995,182342,1161669,895963,543436,23813,0,0
